Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J3         usb_typeB_mini_smd        4.75mm          74mm        4.75mm          74mm         7.5mm        72.4mm  B         90.00 Mini USB Type B
R41        0603_[1608]        247.0002mm        33.5mm         247mm        33.5mm    246.3002mm        33.5mm  B        360.00 33R            
R40        0603_[1608]        250.7502mm        33.5mm      250.75mm        33.5mm    250.0502mm        33.5mm  B        360.00 33R            
R39        0603_[1608]        247.0002mm        28.5mm         247mm        28.5mm    246.3002mm        28.5mm  B        360.00 33R            
R38        0603_[1608]        250.7502mm        28.5mm      250.75mm        28.5mm    250.0502mm        28.5mm  B        360.00 33R            
R37        0603_[1608]          270.25mm    100.2502mm      270.25mm      100.25mm      270.25mm     99.5502mm  B         90.00 33R            
R36        0603_[1608]          249.25mm     98.2502mm      249.25mm       98.25mm      249.25mm     97.5502mm  B         90.00 33R            
R35        0603_[1608]        257.0002mm         105mm         257mm         105mm    256.3002mm         105mm  T        360.00 180R           
R34        0603_[1608]        250.7502mm         105mm      250.75mm         105mm    250.0502mm         105mm  T        360.00 680R           
R33        0603_[1608]          278.25mm     35.2498mm      278.25mm       35.25mm      278.25mm     35.9498mm  T        270.00 33R            
R32        0603_[1608]           279.5mm     35.2498mm       279.5mm       35.25mm       279.5mm     35.9498mm  T        270.00 33R            
R31        0603_[1608]          278.75mm     27.0002mm      278.75mm          27mm      278.75mm     26.3002mm  T         90.00 33R            
R30        0603_[1608]          280.25mm     27.0002mm      280.25mm          27mm      280.25mm     26.3002mm  T         90.00 33R            
R29        0603_[1608]          283.25mm     42.0002mm      283.25mm          42mm      283.25mm     41.3002mm  B         90.00 10K            
R28        0603_[1608]           284.5mm     42.0002mm       284.5mm          42mm       284.5mm     41.3002mm  B         90.00 10K            
R27        0603_[1608]          277.25mm     26.9998mm      277.25mm          27mm      277.25mm     27.6998mm  T        270.00 33R            
R26        0603_[1608]           277.3mm     53.4998mm       277.3mm        53.5mm       277.3mm     54.1998mm  T        270.00 10K            
R25        0603_[1608]          281.75mm     26.9998mm      281.75mm          27mm      281.75mm     27.6998mm  T        270.00 33R            
R24        0603_[1608]        272.4998mm        39.2mm       272.5mm        39.2mm    273.1998mm        39.2mm  T        180.00 10K            
R23        0603_[1608]        265.2498mm       47.75mm      265.25mm       47.75mm    265.9498mm       47.75mm  T        180.00 10K            
R22        0603_[1608]          268.75mm     47.4998mm      268.75mm        47.5mm      268.75mm     48.1998mm  T        270.00 1M             
R21        0603_[1608]        215.5002mm      104.75mm       215.5mm      104.75mm    214.8002mm      104.75mm  T        360.00 33R            
R20        0603_[1608]        215.5002mm         106mm       215.5mm         106mm    214.8002mm         106mm  T        360.00 33R            
R19        0603_[1608]        223.0002mm         106mm         223mm         106mm    222.3002mm         106mm  T        360.00 33R            
R18        0603_[1608]        223.0002mm      104.75mm         223mm      104.75mm    222.3002mm      104.75mm  T        360.00 33R            
R17        0603_[1608]        228.2502mm         106mm      228.25mm         106mm    227.5502mm         106mm  T        360.00 33R            
R16        0603_[1608]        228.2502mm      104.75mm      228.25mm      104.75mm    227.5502mm      104.75mm  T        360.00 33R            
R13        0603_[1608]          278.75mm     29.7498mm      278.75mm       29.75mm      278.75mm     30.4498mm  T        270.00 33R            
R12        0603_[1608]          281.75mm     29.7498mm      281.75mm       29.75mm      281.75mm     30.4498mm  T        270.00 33R            
R8         0603_[1608]        276.2498mm        79.5mm      276.25mm        79.5mm    276.9498mm        79.5mm  T        180.00 100K           
R7         0603_[1608]        283.9998mm       82.25mm         284mm       82.25mm    284.6998mm       82.25mm  T        180.00 1k5            
R6         0603_[1608]             270mm     71.7502mm         270mm       71.75mm         270mm     71.0502mm  B         90.00 33k            
